rank,source_id,display_name,family,probe_type,recommendation,total_score,reachable,status_code,has_cse_coverage,has_2026_dates,has_verifiable_dates,has_report_date,has_per_row_dates,observed_dates,required_fields_present,current_snapshot,recommendation_reason,url
11,cbsl_exchange_rates_html,CBSL exchange rates page,macro_rates,html,cross_check_only,7.4,True,200,True,False,False,False,False,03.03.2023;07.03.2023,True,False,useful fields observed but not enough for primary ingestion,https://www.cbsl.gov.lk/en/rates-and-indicators/exchange-rates
12,cse_daily_report_cdn_pdf,CSE StockMarketDaily CDN PDF,ohlcv,download,rejected,6.0,True,403,False,False,False,False,False,,False,False,HTTP status 403,https://cdn.cse.lk/cse-daily/StockMarketDaily%28SMD%2929-05-2026.pdf
13,cse_announcements_api,CSE announcements API,news_announcements,api,rejected,6.0,True,404,False,False,False,False,False,,False,False,HTTP status 404,https://www.cse.lk/api/announcement
14,stooq_comb_csv,Stooq COMB daily CSV probe,ohlcv,download,rejected,5.8,True,200,False,False,False,False,False,,False,False,no observed CSE or Sri Lanka coverage,https://stooq.com/q/d/l/?s=comb.lk&i=d&d1=20260101
15,eodhd_comb_demo,EODHD COMB.CSE demo EOD API,ohlcv,api,rejected,5.2,True,403,False,False,False,False,False,,False,False,HTTP status 403,https://eodhd.com/api/eod/COMB.CSE?from=2026-01-01&api_token=demo&fmt=json
16,nasdaq_data_link_search,Nasdaq Data Link CSE search,ohlcv,api,rejected,5.2,True,403,False,False,False,False,False,,False,False,HTTP status 403,https://data.nasdaq.com/api/v3/datasets.json?query=Colombo+Stock+Exchange+COMB
17,cse_all_stock_current,CSE allStock API,ohlcv,api,rejected,5.0,True,404,False,False,False,False,False,,False,True,HTTP status 404,https://www.cse.lk/api/allStock
18,alpha_vantage_symbol_search,Alpha Vantage symbol search,ohlcv,api,rejected,1.7,False,,False,False,False,False,False,,False,False,requires unset API key ALPHAVANTAGE_API_KEY,https://www.alphavantage.co/query
19,finnhub_exchange_symbols,Finnhub Sri Lanka exchange symbols,listings,api,rejected,1.7,False,,False,False,False,False,False,,False,False,requires unset API key FINNHUB_API_KEY,https://finnhub.io/api/v1/stock/symbol
20,dailyft_business_html,Daily FT business page,news_announcements,html,rejected,1.7,False,,False,False,False,False,False,,False,False,"HTTPSConnectionPool(host='www.ft.lk', port=443): Read timed out. (read timeout=15)",https://www.ft.lk/business
21,tradingview_comb_browser,TradingView COMB.N0000 browser page,ohlcv,browser,rejected,1.2,False,,False,False,False,False,False,,False,False,browser probes skipped by CLI,https://www.tradingview.com/symbols/CSELK-COMB.N0000/
22,investing_aspi_historical_browser,Investing.com CSE All-Share historical data,indices,browser,rejected,1.2,False,,False,False,False,False,False,,False,False,browser probes skipped by CLI,https://www.investing.com/indices/cse-all-share-historical-data
